No;RAISONSOCIALE;REGION;COMMUNE;CONTACTS;SECTEUR
205;NEGOCE-CI;ABIDJAN;ABOBO;+225 09 49 84 28;COMMERCE / NEGOCE / DISTRIBUTION
206;ORIGIN7;ABIDJAN;COCODY;+225 08 53 55 78;AUDIOVISUEL ET COMMUNICATION
207;SOCIETE AFRICAINE DE PREVENTION ET DE LA SURVE;ABIDJAN;TREICHVILLE;+225 45 00 52 01;SERVICES AUX ENTREPRISES
208;SOCIETE COOPERATIVE AGRICOLE FRATERNITE D’ADZ;ME;ADZOPE;+225 08 58 52 09;COMMERCE / NEGOCE / DISTRIBUTION
209;SOCIETE COOPERATIVE DES PRODUCTEURS EMERGENTS;LOH-DJIBOUA;DIVO;+225 09 15 07 62;AGROALIMENTAIRE
210;SOCIETE AKF;ABIDJAN;PLATEAU DOKUI;+225 09 57 06 10;BTP / MATERIAUX DE CONSTRUCTION
211;SOCIETE DE COMMERCE ET LOGISTIQUE;ABIDJAN;ADJAME;+225 47 37 40 19;TRANSPORT / LOGISTIQUE
212;SOCIETE DES PRODUITS OLEAGINEUX DE COTE D’IVOI;ABIDJAN;COCODY;+225 09 30 83 62;AGRO-INDUSTRIEL
213;SOLUTECH 3D;ABIDJAN;2 PLATEAUX;+225 05 56 48 42;INFORMATIQUES
214;TOUTAZIMUTS;ABIDJAN;COCODY;+225 07 07 82 61;AUDIOVISUEL & COMMUNICATION
215;EPV CHYADEL;ABIDJAN;YOPOUGON;+225 07 69 99 66;ENSEIGNEMENT
216;DOUBAS MULTI SERVICE;ABIDJAN;TREICHVILLE;07 69 11 99 66;IMPORT ET EXPORT DE MARCHANDISES, RENOVATION DE BA
217;GROUPE SCOLAIRE LA COLOMBE;ABIDJAN;YOPOUGON;07 58 56 34 69;ENSEIGNEMENT
218;KRYSTAL SECURITY;ABIDJAN;TREICHVILLE;07 69 11 99 66;SECURITE
219;SOCIETE COOPERATIVE SIMPLIFIEE POUR LA PROMOT;BOUAKE;BOUAKE;01 02 08 58 35;PRODUCTION, COLLECTE, STOCKAGE, COMMERCIALISATION
220;SOCIETE ELECTRONIQUE DES TECHNOLOGIES D’INFO;ABIDJAN;COCODY;07 09 82 11 80;TELECOM, TOUS TRAVAUX D’ELECTRIFICATION, PRESTATION
221;WAKEFULNESS IVAL COMPANY;ABIDJAN;YOPOUGON;07 49 02 72 12;BTP / MATERIAUX DE CONSTRUCTION
222;WORLD LINE SHIPPING SARL;ABIDJAN;PORT-BOUET;05 45 47 95 47;COMMERCE / NEGOCE / DISTRIBUSTION
223;GROUPE DEMBELE ET FRERES;ABIDJAN;ADJAME;07 58 60 98 81;TRANSPORT / LOGISTIQUE
224;GROUPE M’VOLAIS;ABIDJAN;YOPOUGON MAROC;07 07 71 25 83;COMMERCE / NEGOCE / DISTRIBUTION
225;ANGEBENY ENERGIE;ABIDJAN;TREICHVILLE;07 48 00 01 15;COMMERCE / NEGOCE / DISTRIBUTION
226;LYNAYS;ABIDJAN;COCODY;07 09 89 42 37;INGENIERIE
227;QUINCALLERIE INDUSTRIELLE SARL;ABIDJAN;YOPOUGON;07 57 95 07 19;FOURNITURE ET POSE DE MATERIELS INDUSTRIELS, IMPORT
228;AFRICAN BUSSINESS.COM;ABIDJAN;YOPOUGON;07 07 52 56 75;VENTE DE PRODUITS ALIMENTAIRES, LIVRAISON DE MATERIE
229;SUD DISTRIBUTION;ABIDJAN;MARCORY;07 07 20 47 22;IMPORT-EXPORT DE PRODUITS ALIMENTAIRES ET PRESTATIO F
230;GENERAL LOGISTICS SYSTEMS;ABIDJAN;TREICHVILLE;07 57 57 29 32;TRANSIT DOUANE, MARITIME, AERIEN, TERRESTRE, BTP, ELE
231;ELITRA;ABIDJAN;YOPOUGON;07 08 56 12 77;BTP / MATERIAUX DE CONSTRUCTION
232;GITER ENERGIE;ABIDJAN;COCODY;07 07 82 72 05;ELECTRICITE
233;COMPAGNIE IVOIRIENNE DE PRODUCTION DE VIVRIER;ABIDJAN;ABOBO;07 09 88 99 75;PRODUCTION ET COLLECTE DE PRODUITS AGRICOLES, TRAN
234;BAKISSON INTER TOUS TRAVAUX DE CONSTRUCTION;ABIDJAN;ABOBO N’DOTRE;07 08 77 74 41;BTP / MATERIAUX DE CONSTRUCTION
235;FONCIER IMMOBILIER HABITAT OUVERT A TOUS;ABIDJAN;YOPOUGON;01 02 11 68 46;BTP / MATERIAUX DE CONSTRUCTION
236;IMMOBILIER DIOMANDE OUATTARA SEBOGO;ABIDJAN;ABOBO;07 47 45 44 42;BTP / MATERIAUX DE CONSTRUCTION
237;AFRIK TEXTILE;ABIDJAN;ADJAME;07 07 74 79 19;COMMERCE DE PAGNES
238;AUGUR INDUSTRIES SA;AGNEBY-TIASSA;AZAGUIE;07 07 09 59 03;AGROALIMENTAIRE
239;ZOUHOUNIDA MULTI-SERVICES;ABIDJAN;YOPOUGON;05 84 11 14 50;VENTE DE PRET A PORTER ET ARTICLES DIVERSES
240;SOCIETE IVOIRIENNE D’ELECTRICITE, D’AUTOMATISME;ABIDJAN;KOUMASSI;07 07 88 98 65;ELECTRICITE, AUTOMATISME, FORMATION, TRAVAUX DIVERS
241;KANTE FANTA | DISTRIPREST;ABIDJAN;ADJAME;07 08 11 25 57;VENTE DE PRODUITS AGROALIMENTAIRES
242;NOUVELLE SOCIETE IVOIRIENNE DE SERVICES ET DE C KORHOGO;;KORHOGO;05 05 16 41 20;COMMERCE / PRESTATION DE SERVICES ET DIVERS
243;BLESSING FERME;AGNEBY-TIASSA;TIASSALE;07 58 02 36 34;ELEVAGE DE POULETS
244;ENTREPRISE GENERALE DE MENUISERIE ET TRAVAUX;ABIDJAN;ABOBO;05 05 68 29 70;BOIS ET ASSIMILES, MOBILIER ET AMEUBLEMENT
245;GENERALE TECHNOLOGY;ABIDJAN;COCODY;07 09 09 50 90;BTP / MATERIAUX DE CONSTRUCTION
246;ADI GROUP;ABIDJAN;YOPOUGON;07 07 49 64 39;INFORMATIQUES
247;INGENIERIE DES SYSTEMES ELECTRIQUES & EXPERTI;ABIDJAN;COCODY;05 05 99 77 53;ETUDE, EXPERTISE, FORMATION
248;IVOIRIENNE DE REGULATION DE TENSION ET TRAVAUX ABIDJAN;;COCODY;07 07 80 85 12;MAINTENANCE DES RESEAUX ELECTRIQUES
249;LAGUNE TRANSPORT ET LOGISTIQUE;ABIDJAN;COCODY;07 67 68 08 15;TRANSPORT / LOGISTIQUE
250;BIBCI;ABIDJAN;BINGERVILLE;07 07 50 94 56;BUREAUTIQUE – INFORMATIQUE - BATIMENT
251;RACHA ADIEUVAT SARL;ABIDJAN;COCODY;07 79 08 64 03;BTP / MATERIAUX DE CONSTRUCTION
252;GETSOLUPRO;ABIDJAN;COCODY;07 07 00 04 79;INGENIERIE DES TELECOMMUNICATIONS
253;KAMARA MARYSE SERVICES;ABIDJAN;COCODY;07 59 20 94 98;VENTE DE PRODUITS COSMETIQUES
254;ENTREPRISE LA PROVIDENCE;NAWA;SOUBRE;07 48 66 84 40;VENTE DE MARCHANDISES
255;EDITION FABS;ABIDJAN;BINGERVILLE;07 07 13 08 22;TRAVAUX D’IMPRIMERIE ET EDITIONS
256;ASSURTIS SARL;ABIDJAN;TREICHVILLE;07 08 26 39 13;COURTAGE EN ASSURANCE
257;BARAKA MEFAZE;ABIDJAN;TREICHVILLE;07 08 34 93 10;ACHAT, VENTE DE VETEMENTS ET DIVERS
258;AKE SHOES;ABIDJAN;ABOBO;07 09 28 70 75;ACHAT, VENTE ET CONFECTION DE CHAUSSURES
259;LEYLA ENTREPRISE;ABIDJAN;KOUMASSI;07 08 95 31 87;IMPORT-EXPORT DE PRODUITS VIVRIERS, PRODUCTION
260;ETABLISSEMENT HERNDON IMPORT - EXPORT SERVICE;ABIDJAN;COCODY;07 79 74 74 01;IMPORT-EXPORT, GENIE CIVIL, VENTE D’ORDINATEURS
261;APINOME;AGNEBY-TIASSA;SIKENSI;07 07 43 15 60;APICULTURE, COMMERCIALISATION DE PRODUITS ET MATER I
262;CODE BLEU;ABIDJAN;COCODY;01 40 90 48 18;FORMATION, SANTE ET PRESTATIONS
263;SIRA HOLDING;ABIDJAN;TREICHVILLE;07 07 23 87 81;COMMERCE / NEGOCE / DISTRIBUTION
264;SEJO GROUPE SARL;ABIDJAN;RIVIERA PALMERAIE;07 59 74 79 62;BTP / VENTE DE MOBILIERS DE BUREAUX
265;AVE SERVICE;ABIDJAN;COCODY;07 07 79 61 19;FOURNITURE DE BUREAU
266;KOUA MAZAN;LOH-DJIBOUA;DIVO;07 47 40 83 60;VENTE DE FRIPERIE
267;PASSIONS ET SERVICES;ABIDJAN;BINGERVILLE;07 79 68 41 19;EVENEMENTIEL - RESTAURATION
268;AFRIBED;ABIDJAN;COCODY ANGRE;07 07 64 46 31;BTP – CONSTRUCTION – GENIE CIVIL
269;YONAS INTERNATIONAL;ABIDJAN;COCODY ANGRE;01 02 32 07 17;ACHAT ET VENTE DE GAZ, LOCATION DE VAISSELLE
270;SCOOPS COOPRACI;SUD COMOE;ABOISSO;07 07 31 57 27;AGRICOLE
271;RESTAURANT – BAR LE SOUKALO;ABIDJAN;TREICHVILLE;05 06 35 06 06;RESTAURANT - EVENT
272;ETS NAMARO;ABIDJAN;ABOBO BANCO;07 47 63 31 44;ACHAT ET VENTE DE PIECES DETACHEES
273;AFRICA-VILLAGE SHOP;ABIDJAN;RIVIERA PALMERAIE;07 08 65 14 92;CONFECTION DE CHAUSSURES, DES BIJOUX ET DIVERS
274;RIZ DE COTE D’IVOIRE;ABIDJAN;YOPOUGON;07 77 22 62 77;ACHAT, DECORTICAGE, COMMERCIALISATION DE RIZ LOCAL E
275;MORIM MULTISERVICES;ABIDJAN;COCODY;07 07 00 55 72;FOURNITURE DE BUREAU
276;PHARMACIE LA ROSEE DE L’HERMON;ABIDJAN;YOPOUGON;07 89 21 72 19;INDUSTRIE PHARMACEUTIQUE
277;GROUPE SCOLAIRE BETHANIE;ABIDJAN;YOPOUGON;01 01 02 56 19;ENSEIGNEMENT
278;CIPLAST;ABIDJAN;YOPOUGON;01 40 82 82 25;TRANSFORMATION PLASTIQUE
279;GROUPE CONNECT IEBS;ABIDJAN;COCODY;225 07 07 08 69 75;CREATION ET GESTION D’ETABLISSEMENT
280;AFRICAN STRATEGICS OPPORTUNITIES GROUP;ABIDJAN;COCODY;+225 07 07 78 26 29;GESTION ET PROMOTION IMMOBILIERE
281;JD EDITIONS;ABIDJAN;YOPOUGON;+225 07 07 81 51 47;EDITIONS
282;AS SERVICE;NAWA;SOUBRE;225 07 47 26 97 36;COMMUNICATION - TRANSFERT D’ARGENT - DIVERS
283;MAORSE CONSEIL;ABIDJAN;COCODY RIVIERA;+225 01 40 14 76 76;"CONSEIL AUX ENTREPRISES, ASSISTANCE FISCALE,
COMPTABLE ET JURIDIQUE"
284;DIELIMAR SARL;ABIDJAN;COCODY;+225 07 08 47 57 20;TOPOGRAPHIE – LOTISSEMENT – EXPERTISE - FONCIER
285;SOCIETE CIVILE IMMOBILIERE DONGUI;ABIDJAN;COCODY;+225 07 08 47 57 20;ACQUISITOIRE EN PROPRIETE
286;SOCIETE IVOIRIENNE DES FRERES;ABIDJAN;COCODY ANGRE;+225 07 07 90 23 13;BTP – ELECTRICITE GENERALE - IMPORT-EXPORT - TRANSPO
287;ETABLISSEMENT TELEPHONIQUE DE COTE D’IVOIRE;NAWA;SAN PEDRO;+225 07 07 82 05 04;INSTALLATION – DEPANNAGE – VENTE D’AUTOCOM - DIVERS
288;MIDAFB;ABIDJAN;PORT-BOUET;+225 07 07 59 15 74;BTP / MATERIAUX DE CONSTRUCTION
289;LES EDITIONS MATRICE;ABIDJAN;YOPOUGON;+225 07 07 25 49 25;EDITIONS DE LIVRE
290;FOYER SAINT JOSEPH;ABIDJAN;BINGERVILLE;+225 07 07 52 15 75;CRECHE, GARDERIE
291;COMPAGNIE DE BATIMENT ET DE GENIE CIVIL EN COTE ABIDJAN;;YOPOUGON;+225 07 57 13 31 39;TRAVAUX PUBLICS – GENIE CIVIL – GENIE RURAL
292;CIMEF INTERNATIONAL;ABIDJAN;COCODY;+225 07 58 20 05 03;FORMATION, CONSEIL ET RECRUTEMENT
293;SOCIETE GENERALE DE GESTION IMMOBILIERE, DU BA;ABIDJAN;COCODY RIVIERA;+225 07 07 63 44 37;CONSTRUCTION BATIMENT
294;AFRICAINE DE SERVICE ET DE TECHNOLOGIE CI / ASTC ABIDJAN;;COCODY;+225 07 57 00 59 59;PRESTATION DE SERVICES – TOUS TRAVAUX DE BATIMENT
295;MY PRIVILEG SARL;ABIDJAN;COCODY;+225 05 46 00 00 96;CABINET CONSEIL EN MANAGEMENT DES ORGANISATIONS E T
296;PHARMALINK GROUP;ABIDJAN;ATTECOUBE;225 07 08 19 20 28;REPRESENTATION ET PROMOTION DES PRODUITS PHARMAC
297;SOCIETE NOBLESS CONSEILS SARL;ABIDJAN;TREICHVILLE;+225 07 08 36 55 68;FOURNITURE DE TOUT TYPE DE PRESTATIONS DE SERVICES
298;KONAN CHARLES GABIN;ABIDJAN;TREICHVILLE;+225 05 05 64 01 95;IMPORT-EXPORT DE PRODUITS SURGELES ET DIVERSES PRE
299;VISION CONSTRUCTION +;ABIDJAN;YOPOUGON;+225 07 07 43 54 51;BATIMENT, GENIE CIVIL, ELECTRICITE
300;ETTY CONSULTING IMPORT-EXPORT;ABIDJAN;YOPOUGON;+225 07 79 49 70 07;IMPORT-EXPORT DE MARCHANDISES, COMMERCE ELECTRON
301;TOHOUNDJO INES CELIA;AGNEBY-TIASSA;AGBOVILLE;+225 07 47 47 33 49;ACHAT ET VENTE DE MARCHANDISES DIVERSES
302;WIZODIA COTE D’IVOIRE;ABIDJAN;RIVIERA ATTOBAN;+225 07 87 86 32 85;LE CONSEIL POUR LES AFFAIRES ET AUTRES CONSEILS DE G
303;DIARRA ROKIATOU EPSE N’GUESSAN (REHOBOTH BOU;ABIDJAN;YOPOUGON GABRIEL;+225 01 02 53 54 68;VENTE D’HUILE DE PALME
304;ETABLISSEMENT GAMAÏ SARL;ABIDJAN;COCODY;+225 07 87 57 09 09;IMPORT-EXPORT, CONSTRUCTION, NETTOYAGE, VOIRIE
305;KOUAMI KOUAKOU GERARD (ROCHEL SERVICES);ABIDJAN;PORT-BOUET;+225 07 09 66 10 54;ELECTRICITE, BATIMENT, INDUSTRIEL
306;GODO EMMANUEL ROLAND (GERE BTP;GRANDS PONTS;GRAND LAHOU;+225 01 51 50 33 67;HOTELLERIE
307;INSTITUTS OF BUSINESS MANAGEMENT COMMUNICATI;ABIDJAN;COCODY 2 PLATEAUX;+225 07 58 22 18 29;FORMATION LINGUISTIQUE – FAST FOOD
308;PRO WORK INTERNATIONAL SERVICES;ABIDJAN;COCODY ANGRE;+225 07 07 97 37 55;MAINTENANCE INDUSTRIELLE, CONSTRUCTION, FORMATION
309;BAKAYOKO SIDIKI (ETABLISSEMENT COMMERCIAL ET I;ABIDJAN;COCODY;+225 07 07 04 94 91;IMPORT-EXPORT, VENTE DE PIECES DETACHEES ET DIVERS
310;AFRICAINE DE PRESTATION DE SERVICES;ABIDJAN;COCODY DEUX PLATEAUX;+225 01 01 30 23 58;BTP – FOURNITURES DE BUREAU
311;ECOLE SUPERIEURE DE MANAGEMENT ET DES TECHN;ABIDJAN;YOPOUGON QUARTIER;+225 07 08 26 33 48;ENSEIGNEMENT SUPERIEUR – FORMATION PROFESSIONNEL
312;SET INTERNATIONAL;ABIDJAN;COCODY 2 PLATEAUX;+225 07 07 67 30 67;GENIE CIVIL – BATIMENTS - FOURNITURES
313;SOLIGHT ENGINEERING;ABIDJAN;PLATEAU;+225 07 57 68 22 51;MONTAGE, VENTE, INSTALLATION D’EQUIPEMENT ELECTRIQU
314;ETOILES TRANSIT INTER;ABIDJAN;TREICHVILLE;+225 07 07 35 67 32;TRANSIT – TRANSPORT
315;YAO KOMENAN CELESTIN (ETS YKC);ABIDJAN;KOUMASSI;+225 07 58 50 58 15;SOUDURE – CONSTRUCTION METALLIQUE - TUYAUTERIE
316;ECOLE PRIMAIRE PRIVEE UNION FORCE;ABIDJAN;KOUMASSI;+225 07 07 23 64 80;ENSEIGNEMENT PRIMAIRE PRIVE
317;DAGBARA OMIE OLGA (EL ROÏ);AGNEBY-TIASSA;TIASSALE;+225 07 07 24 23 65;ELEVAGE – ACHAT ET VENTE DE MARCHANDISES DIVERSES
318;ELEMBO SARL;ABIDJAN;COCODY;+225 05 05 85 71 36;PATISSERIE ET TRANSFORMATION DES PRODUITS DU TERRO
319;KAFINE SERVICE;ABIDJAN;ABOBO;+225 05 06 90 03 06;ACHAT ET VENTE DE PRODUITS VIVRIERS
320;MAMADOU DOSSO (M.D. MECANO);ABIDJAN;ADJAME;+225 05 55 02 12 08;PRESTATIONS ET MECANOGRAPHE
321;NUMERIC SERVICES SOLUTIONS;ABIDJAN;BINGERVILLE;+225 07 69 05 05 21;ARTS GRAPHIQUES, IMPRESSION NUMERIQUE ET OFFSET
322;CABINET DE FORMATION AUX METIERS DE L’AVIATION;ABIDJAN;PORT-BOUET AEROPORT;+225 07 07 07 38 88;FORMATION PROFESSIONNELLE
323;SECURITECH;ABIDJAN;YOPOUGON;+225 07 07 95 48 29;LA SECURITE DES BIENS ET DES PERSONNES, LA SECURITE E
324;ETABLISSEMENTS HIRAM;ABIDJAN;COCODY;+225 01 41 60 44 44;
325;ENTREPRISE KABLAN A. SIMONE;ABIDJAN;YOPOUGON;+225 07 07 25 38 64;AVITAILLEMENT ET ENTRETIEN MARITIMES, CONSTRUCTION
326;SOCIETE DE MECANIQUE GENERALE;ABIDJAN;MARCORY;+225 07 07 01 70 11;PRESTATIONS DE SERVICES INDUSTRIELS CHAUDRONNERIE
327;ENTREPRISE SORO MAMADOU;ABIDJAN;YOPOUGON;+225 07 57 27 72 10;TRAVAUX BATIMENTS, TRAVAUX PUBLICS, GENIE CIVIL
328;ATLANTIQUE TRADING ET DIVERS;ABIDJAN;ABOBO PLATEAU DOKUI;+225 07 07 59 41 31;TRAVAUX HYDRAULIQUES, PLOMBERIE ET ENERGIE RENOUV
329;KOSADA;PORO;KORHOGO;+225 01 01 62 46 46;TRANSPORT DE MARCHANDISES IMPORT-EXPORT
330;HYELIA ETABLISSEMENT;ABIDJAN;COCODY RIVIERA ATTOBAN;+225 07 67 50 44 82;BTP
331;SPHENS COTE D’IVOIRE SARL;ABIDJAN;YOPOUGON;+225 07 87 08 47 08;TRANSPORT, COMMERCE GENERAL, VENTE DE BOIS ET DE C
332;EBURNEA TRANSIT ET SERVICES;ABIDJAN;TREICHVILLE;+225 07 07 08 24 69;TRANSIT ET DIVERS
333;ENTREPRISE BAMBA FATOU;ABIDJAN;YOPOUGON;+225 07 68 81 44 00;COMMERCE, ELEVAGE ET DIVERS
334;SIMI AUTO;ABIDJAN;YOPOUGON;+225 07 07 74 51 57;GARAGE AUTOMOBILE
335;AFRICAT GROUP;ABIDJAN;COCODY;+225 07 07 55 22 56;
336;CATALYSE BEAUTE-SANTE;ABIDJAN;TREICHVILLE;+225 07 07 09 02 10;VENTE DE PRODUITS COSMETIQUES
337;ETS SYLLA MARIAM;ABIDJAN;ADJAME;+225 07 49 75 75 44;COMMERCE DE CHAUSSURES ET DIVERS
338;FOFANA NAMORY (IVOIRE MAINTENANCE);HAUT-SASSANDRA;DALOA;+225 07 08 12 58 17;VENTE DE MATERIEL INFORMATIQUE, MAINTENANCE
339;MEX-PRES-CI;ABIDJAN;ABOBO;+225 05 46 72 91 37;IMPORT-EXPORT, LES PRESTATIONS
340;SOCOREMF-CI;ABIDJAN;ABOBO;+225 07 47 69 44 93;RECUPERATION ET COLLECTE DE METAUX
341;YAO KOUACOU MARTIAL (BTP-SOLUTION);ABIDJAN;MARCORY;+225 07 47 83 10 73;INGENIERIE CIVIL – CONSTRUCTION
342;SARAGALO HAMADOU COULIBALY (ENTREPRISE D’INT E;PORO;KORHOGO;+225 07 09 00 90 09;TRANSPORT – ACHAT ET VENTE DE PRODUITS - DISTRIBUTIO
343;CENTRE MEDICAL CROZET;ABIDJAN;PLATEAU;+225 07 79 47 15 17;CONSULTATION MEDICALE, PREVENTION ET SOIN
344;XPERT GROUP;ABIDJAN;YOPOUGON;+225 07 07 31 49 16;BTP / MATERIAUX DE CONSTRUCTION
345;SOCIETE COOPERATIVE DES PRODUCTEURS AGRICOL;GONTOUGO;BONDOUKOU;+225 07 48 35 74 70;
346;MIEN-SAH BOUTIQUE;AGNEBY-TIASSA;AZAGUIE;+225 07 49 11 90 09;ACHAT ET VENTE D’EFFETS VESTIMENTAIRES, CHAUSSURES
347;GROUPE ESPERANCE;ME;ADZOPE;+225 01 03 68 51 24;ELEVAGE
348;KEDY CORP;ABIDJAN;COCODY;+225 07 67 78 73 57;BTP / MATERIAUX DE CONSTRUCTION
349;SOCIETE DE PRODUCTION ET DE DISTRIBUTION;ABIDJAN;COCODY;+225 07 08 37 10 78;AGROALIMENTAIRE
350;I-TECH INVEST;ABIDJAN;COCODY;+225 05 44 61 23 23;TRANSPORT / LOGISTIQUE
351;IVOIRE GLOBE PRESTATIONS;ABIDJAN;COCODY;+225 07 07 36 16 95;BTP / MATERIAUX DE CONSTRUCTION
352;SAM CONSULTING;ABIDJAN;ABOBO;+225 05 75 14 09 09;BTP / MATERIAUX DE CONSTRUCTION
353;UNIVERS CONSTRUCTIONS;ABIDJAN;TREICHVILLE;+225 07 07 18 49 19;BTP / MATERIAUX DE CONSTRUCTION
354;MERLAN TRANSPORT;ABIDJAN;ADJAME;+225 07 58 87 88 63;TRANSPORT / LOGISTIQUE
355;YACINE MULTI-SERVICES;ABIDJAN;COCODY;+225 07 59 22 96 41;EXPLOITATION DE CARRIERES DE SABLE, COMME
356;BRAHIMA BAKAYOKO (GENERAL PRESTATION;TONKPI;DANANE;+225 07 08 23 28 50;FOURNITURE ET PRESTATION DE SERVICES
357;GEO-ENGINEERING DESIGN AND SURVEYING;ABIDJAN;COCODY;+225 07 77 08 04 54;BTP / MATERIAUX DE CONSTRUCTION
358;CYRIAM DISTRIBUTION;BOUKANI;BOUNA;225 05 06 84 86 80;ACHAT ET VENTE DE PRODUITS PHYTOSANITAIRE ET DE MAT
359;NET SERVICES TRANSPORT;ABIDJAN;KOUMASSI;225 05 45 26 32 63;TRANSPORT DE PERSONNE ET DE MARCHANDISE
360;CABINET D'EXPERTISE, DE CONSEIL ET DE COURTAGE;ABIDJAN;COCODY;225 05 45 26 32 63;COURTAGE EN ASSURANCE
361;SOCIETE IVOIRIENNE D'INTELLIGENCE FINANCIERE;ABIDJAN;MARCORY;225 05 45 26 32 63;INTERMEDIATION EN BANQUE ET FINANCE
362;NET SERVICES PLUS;ABIDJAN;KOUMASSI;225 05 45 26 32 63;PRESTATION DE SERVICE
363;KONAN KOFFI NORBERT;MARAHOUE;BOUAFLE;225 07 08 26 19 43;ELEVAGE
364;GROUPE SCOLAIRE KOROKO;ABIDJAN;ABOBO;225 0759 97 08 03;ENSEIGNEMENT
365;CABINET AFRIQUE STRATEGIES SARL;ABIDJAN;PLATEAU;225 07 07 13 58 78;FORMATION PROFESSIONNELLE
366;SEATHIEL CI;ABIDJAN;COCODY;225 07 57 19 55 19;COMMERCE GENERAL, PRESTATIONS DIVERSES
367;CAPITAL IVOIRE ENTREPRISE;ABIDJAN;COCODY;225 07 57 11 12 55;VENTE DE MATERIEL ET CONSOMMABLES INFORMATIQUES
368;ALPHA SY MULTISERVICES;ABIDJAN;ADJAME;225 07 07 98 82 53;COMMERCE GENERALE, IMPORT-EXPORT
369;WENDY & CO;ABIDJAN;COCODY;225 07 07 66 54 13;REGIE PUBLICITAIRE
370;NORD SUD TRANSPORT;SUD COMOE;ABOISSO;225 07 07 54 12 22;TRANSPORT / LOGISTIQUE
371;MULTISERVICES;TONKPI;MAN;225 07 07 69 66 07;DISTRIBUTION DE CANAL PLUS ET COMMERCE GENERAL
372;MOAYE SERVICE;LACS;TOUMODI;225 07 09 73 23 58;CONSEIL – ENCADREMENT – PRODUCTION ANIMALE
373;BIOLOGIE MEDICALE DISTRIBUTION / BIOMED;ABIDJAN;TREICHVILLE;225 07 07 90 90 80;VENTE DE REACTIFS ET APPAREILS DE LABORATO
374;HYGIENE IVOIRE INTERNATIONAL;ABIDJAN;TREICHVILLE;225 07 08 01 14 00;COMMERCE / NEGOCE / DISTRIBUTION
375;KANKIRA;ABIDJAN;TREICHVILLE;225 07 07 77 35 35;CREATION ET OUVERTURE D’UN POINT DE VENTE
376;AT MULTI-SERVICES;ABIDJAN;PLATEAU;225 07 07 12 41 67;VENTE DE MATERIELS ET CONSOMMABLES INFOR
377;ETS OGOU BIEHON HORTENSE;PORO;KORHOGO;225 07 09 93 48 99;ACTIVITES DE SERVICES, DE SOUTIEN ET DE BURE F
378;SERVICE AUTO IBRAHIM ET AICHA;ABIDJAN;YOPOUGON;225 07 49 49 05 55;LOCATION ET VENTE DE VEHICULES
379;NOVASYS;ABIDJAN;COCODY;07 09 48 70 54;Consulting et intEgration de services informatiques
380;AFRICAN RUBBER;ABIDJAN;ANYAMA;225 07 07 46 39 39;COMMERCE / NEGOCE / DISTRIBUTION
381;GREEN VISION GROUP CONSULTING SERVICE;ABIDJAN;COCODY;225 07 07 23 09 15;ETUDES ET CONSEILS
382;AFRIQUE PISTES ROUTES ET TRAVAUX PUBL;ABIDJAN;ANYAMA;225 07 07 46 39 39;REPROFILAGE DES PISTES ET ROUTES
383;N.A CONSULTING;ABIDJAN;COCODY;225 07 09 17 11 71;ACTIVITES DE SERVICES, DE SOUTIEN ET DE BURE M
384;OUVRAGES PUBLICS ET RESEAUX DE NEGOC HAUT-SASSANDRA;;DALOA;225 07 59 42 53 71;PRODUCTION ET VENTE DE SEMENCES, BATIMENT
385;MATRELEC;ABIDJAN;YOPOUGON;225 07 07 77 26 81;BTP / MATERIAUX DE CONSTRUCTION
386;SYNERGIES CONSULTING;ABIDJAN;COCODY;225 07 08 50 50 35;ETUDES ET CONSEILS
387;ENTREPRISE MENUISERIE TAPISSERIE CONS;TONKPI;BIANKOUMA;225 07 07 26 85 12;BTP / MATERIAUX DE CONSTRUCTION
388;YEKOD SARL;NAWA;SAN PEDRO;225 07 08 10 14 09;INFORMATIQUES
389;AFRICA DATA INTELLIGENCE;ABIDJAN;COCODY;225 05 84 80 90 86;ETUDES ET CONSEILS
390;COMPAGNIE AFRICAINE DE PRESTATIONS DE ABIDJAN;;TREICHVILLE;225 07 08 74 08 42;ASSURANCE
391;ENTREPRISE FADIKA ET FILS;ABIDJAN;COCODY;225 07 88 22 06 01;EXPLOITATION DE RESIDENCE
392;ETABLISSEMENT SORNA TRANSIT;ABIDJAN;MARCORY;225 07 57 57 61 31;TRANSIT- DOUANE
393;FANE VOYAGES;ABIDJAN;ANYAMA;225 07 78 24 70 64;BILLETERIE, VOYAGE, TOURISME
394;MAMIANOU;GBEKE;BOUAKE;225 07 07 30 37 58;HOTELLERIE
395;SOCIETE COOPERATIVE IVOIRIENNE DES FEMMMES;SUD COMOE;ABOISSO;225 07 07 66 17 36;COLLECTE, COMMERCIALISATION ET TRANSFORM
396;SOCIETE COOPERATIVE DEPARTEMENTALE;ME;ADZOPE;225 07 58 58 37 35;COLLECTE,STOCKAGE ET LIVRAISON DE PRODUIT
397;TOURE TINGNIN YOLANDE MAMAN / TOTIYOM;ABIDJAN;YOPOUGON;225 07 09 52 52 55;BTP / MATERIAUX DE CONSTRUCTION
398;SOCIETE DE DISTRIBUTION, DE NEGOCE ET;ABIDJAN;PLATEAU;225 07 07 01 08 01;COMMERCE / NEGOCE / DISTRIBUTION
399;E.C.T - BTP;ABIDJAN;COCODY;225 07 07 74 23 19;BTP / MATERIAUX DE CONSTRUCTION
